Area, MajorAxisLength, MinorAxisLength, Eccentricity, ConvexArea, FilledArea, EulerNumber, EquivDiameter, Solidity, Perimeter, Intensity, X, Y, IsTopEdge, IsBottomEdge, IsLeftEdge, IsRightEdge, IsNucleus, IsOverSeg, IsUnderSeg, 
12, 4.618802e+00, 3.464102e+00, 6.614378e-01, 12, 12, 1, 3.908820e+00, 1, 10, 3.936828e-02, 58, 9.005000e+02, 0, 0, 0, 0, 1, 0, 0, 
248, 2.033927e+01, 1.572357e+01, 6.343273e-01, 256, 248, 1, 1.776973e+01, 9.687500e-01, 5.769848e+01, 1.606134e+00, 7.389516e+01, 9.965403e+02, 0, 0, 0, 0, 1, 0, 0, 
200, 2.044805e+01, 1.271161e+01, 7.832921e-01, 207, 200, 1, 1.595769e+01, 9.661836e-01, 5.321320e+01, 1.015640e+00, 7.747000e+01, 9.529050e+02, 0, 0, 0, 0, 1, 0, 0, 
603, 4.108528e+01, 2.151519e+01, 8.519203e-01, 692, 603, 1, 2.770854e+01, 8.713873e-01, 1.395391e+02, 1.988830e+00, 8.787065e+01, 6.789801e+02, 0, 0, 0, 0, 1, 0, 0, 
299, 2.611711e+01, 1.484339e+01, 8.227941e-01, 315, 299, 1, 1.951150e+01, 9.492063e-01, 6.852691e+01, 9.149157e-01, 9.080936e+01, 3.687492e+02, 0, 0, 0, 0, 1, 0, 0, 
50, 1.506076e+01, 4.879354e+00, 9.460647e-01, 53, 50, 1, 7.978846e+00, 9.433962e-01, 3.331371e+01, 2.248722e-01, 9.086000e+01, 1.022680e+03, 0, 1, 0, 0, 1, 0, 0, 
238, 1.878850e+01, 1.845416e+01, 1.878103e-01, 273, 238, 1, 1.740779e+01, 8.717949e-01, 6.569848e+01, 9.202106e-01, 9.553782e+01, 9.859832e+02, 0, 0, 0, 0, 1, 0, 0, 
362, 2.499823e+01, 1.851063e+01, 6.720810e-01, 370, 362, 1, 2.146888e+01, 9.783784e-01, 6.935534e+01, 2.193835e+00, 9.854420e+01, 5.748923e+02, 0, 0, 0, 0, 1, 0, 0, 
320, 2.396874e+01, 1.726695e+01, 6.935644e-01, 328, 320, 1, 2.018506e+01, 9.756098e-01, 6.735534e+01, 9.713588e-01, 9.948125e+01, 4.428719e+02, 0, 0, 0, 0, 1, 0, 0, 
530, 3.051739e+01, 2.240147e+01, 6.790890e-01, 544, 530, 1, 2.597724e+01, 9.742647e-01, 8.559798e+01, 2.227848e+00, 1.118302e+02, 4.022434e+02, 0, 0, 0, 0, 1, 0, 0, 
292, 2.460217e+01, 1.548942e+01, 7.769228e-01, 309, 292, 1, 1.928175e+01, 9.449838e-01, 6.852691e+01, 8.719005e-01, 1.105274e+02, 4.692534e+02, 0, 0, 0, 0, 1, 0, 0, 
