Area, MajorAxisLength, MinorAxisLength, Eccentricity, ConvexArea, FilledArea, EulerNumber, EquivDiameter, Solidity, Perimeter, Intensity, X, Y, IsTopEdge, IsBottomEdge, IsLeftEdge, IsRightEdge, IsNucleus, IsOverSeg, IsUnderSeg, 
416, 2.749880e+01, 1.936212e+01, 7.100930e-01, 432, 416, 1, 2.301451e+01, 9.629630e-01, 7.618377e+01, 1.933394e+00, 4.568918e+02, 4.052524e+02, 0, 0, 0, 0, 1, 0, 0, 
474, 2.980558e+01, 2.047350e+01, 7.267506e-01, 486, 474, 1, 2.456655e+01, 9.753086e-01, 8.101219e+01, 2.486870e+00, 4.604620e+02, 3.228544e+02, 0, 0, 0, 0, 1, 0, 0, 
434, 2.629324e+01, 2.135400e+01, 5.834515e-01, 456, 434, 1, 2.350715e+01, 9.517544e-01, 7.784062e+01, 3.246433e+00, 4.971198e+02, 7.474124e+02, 0, 0, 0, 0, 1, 0, 0, 
258, 2.433187e+01, 1.409515e+01, 8.151231e-01, 270, 258, 1, 1.812445e+01, 9.555556e-01, 6.262742e+01, 1.229709e+00, 4.972829e+02, 1.017981e+03, 0, 1, 0, 0, 1, 0, 0, 
741, 4.892209e+01, 2.366620e+01, 8.752047e-01, 889, 741, 1, 3.071596e+01, 8.335208e-01, 1.333970e+02, 6.071275e+00, 5.077463e+02, 7.847517e+02, 0, 0, 0, 0, 1, 0, 0, 
434, 3.065959e+01, 1.808985e+01, 8.073867e-01, 441, 434, 1, 2.350715e+01, 9.841270e-01, 7.852691e+01, 3.589578e+00, 5.029862e+02, 5.369516e+02, 0, 0, 0, 0, 1, 0, 0, 
377, 2.556370e+01, 1.888256e+01, 6.740919e-01, 383, 377, 1, 2.190916e+01, 9.843342e-01, 7.018377e+01, 2.166369e+00, 5.088249e+02, 4.391247e+01, 0, 0, 0, 0, 1, 0, 0, 
319, 2.443525e+01, 1.698604e+01, 7.188697e-01, 338, 319, 1, 2.015350e+01, 9.437870e-01, 6.769848e+01, 1.410315e+00, 5.090219e+02, 1.451505e+02, 0, 0, 0, 0, 1, 0, 0, 
531, 2.792200e+01, 2.440438e+01, 4.858900e-01, 546, 531, 1, 2.600173e+01, 9.725275e-01, 8.476955e+01, 3.233234e+00, 5.160829e+02, 4.417024e+02, 0, 0, 0, 0, 1, 0, 0, 
442, 3.124478e+01, 1.813661e+01, 8.142827e-01, 451, 442, 1, 2.372281e+01, 9.800443e-01, 7.984062e+01, 3.616205e+00, 5.174910e+02, 3.861946e+02, 0, 0, 0, 0, 1, 0, 0, 
10, 4.531372e+00, 2.921187e+00, 7.644708e-01, 10, 10, 1, 3.568248e+00, 1, 8.828427e+00, 3.166247e-02, 509, 3.955000e+02, 0, 0, 0, 0, 1, 0, 0, 
328, 2.782855e+01, 1.529380e+01, 8.354461e-01, 344, 328, 1, 2.043582e+01, 9.534884e-01, 7.101219e+01, 2.378119e+00, 5.293445e+02, 6.005030e+02, 0, 0, 0, 0, 1, 0, 0, 
615, 3.350666e+01, 2.344141e+01, 7.145303e-01, 630, 615, 1, 2.798289e+01, 9.761905e-01, 9.291169e+01, 4.158495e+00, 5.516813e+02, 7.998439e+02, 0, 0, 0, 0, 1, 0, 0, 
326, 2.608345e+01, 1.625853e+01, 7.819607e-01, 342, 326, 1, 2.037342e+01, 9.532164e-01, 7.335534e+01, 9.576715e-01, 5.476871e+02, 6.933650e+02, 0, 0, 0, 0, 1, 0, 0, 
571, 4.341868e+01, 1.900356e+01, 8.991300e-01, 674, 571, 1, 2.696330e+01, 8.471810e-01, 1.125685e+02, 2.450553e+00, 5.582592e+02, 6.548021e+02, 0, 0, 0, 0, 1, 0, 0, 
293, 2.160346e+01, 1.748946e+01, 5.870272e-01, 305, 293, 1, 1.931474e+01, 9.606557e-01, 6.511270e+01, 9.779965e-01, 5.614027e+02, 1.004706e+03, 0, 1, 0, 0, 1, 0, 0, 
388, 2.732575e+01, 1.823488e+01, 7.447758e-01, 399, 388, 1, 2.222649e+01, 9.724311e-01, 7.359798e+01, 1.962661e+00, 5.648273e+02, 6.042268e+01, 0, 0, 0, 0, 1, 0, 0, 
479, 3.636770e+01, 1.729220e+01, 8.797252e-01, 507, 479, 1, 2.469578e+01, 9.447732e-01, 1.043259e+02, 1.514397e+00, 5.893904e+02, 4.357891e+02, 0, 0, 0, 0, 1, 0, 0, 
439, 2.844567e+01, 1.979068e+01, 7.182977e-01, 452, 439, 1, 2.364217e+01, 9.712389e-01, 7.852691e+01, 2.005035e+00, 5.890524e+02, 8.106264e+02, 0, 0, 0, 0, 1, 0, 0, 
572, 3.016549e+01, 2.445541e+01, 5.854502e-01, 583, 572, 1, 2.698690e+01, 9.811321e-01, 8.784062e+01, 3.309667e+00, 5.967587e+02, 8.413601e+02, 0, 0, 0, 0, 1, 0, 0, 
308, 2.394324e+01, 1.656508e+01, 7.220434e-01, 319, 308, 1, 1.980297e+01, 9.655172e-01, 6.487006e+01, 1.532158e+00, 5.990552e+02, 6.934091e+02, 0, 0, 0, 0, 1, 0, 0, 
412, 2.779467e+01, 1.942443e+01, 7.152637e-01, 428, 412, 1, 2.290360e+01, 9.626168e-01, 7.735534e+01, 2.224842e+00, 6.022403e+02, 8.894272e+02, 0, 0, 0, 0, 1, 0, 0, 
345, 2.414631e+01, 1.830103e+01, 6.523446e-01, 354, 345, 1, 2.095871e+01, 9.745763e-01, 6.852691e+01, 1.540703e+00, 6.073130e+02, 7.435217e+02, 0, 0, 0, 0, 1, 0, 0, 
527, 3.147891e+01, 2.143748e+01, 7.322732e-01, 544, 527, 1, 2.590361e+01, 9.687500e-01, 8.676955e+01, 3.040925e+00, 6.136717e+02, 2.912600e+02, 0, 0, 0, 0, 1, 0, 0, 
68, 1.226783e+01, 7.743787e+00, 7.755982e-01, 82, 68, 1, 9.304853e+00, 8.292683e-01, 3.755635e+01, 1.662013e-01, 6.058088e+02, 5.779265e+02, 0, 0, 0, 0, 1, 0, 0, 
1, 1.154701e+00, 1.154701e+00, 0, 1, 1, 1, 1.128379e+00, 1, 0, 2.319371e-03, 607, 584, 0, 0, 0, 0, 0, 1, 0, 
1119, 5.426935e+01, 3.322346e+01, 7.907063e-01, 1413, 1119, 1, 3.774593e+01, 7.919321e-01, 1.725097e+02, 4.989715e+00, 6.427534e+02, 8.045594e+02, 0, 0, 0, 0, 1, 0, 1, 
516, 2.995440e+01, 2.199821e+01, 6.787278e-01, 531, 516, 1, 2.563185e+01, 9.717514e-01, 8.418377e+01, 1.707271e+00, 6.345407e+02, 4.921066e+02, 0, 0, 0, 0, 1, 0, 0, 
276, 2.394016e+01, 1.541672e+01, 7.650516e-01, 297, 276, 1, 1.874604e+01, 9.292929e-01, 7.159798e+01, 9.539940e-01, 6.330833e+02, 6.726667e+02, 0, 0, 0, 0, 1, 0, 0, 
433, 2.704701e+01, 2.043936e+01, 6.549208e-01, 447, 433, 1, 2.348005e+01, 9.686801e-01, 7.676955e+01, 2.060090e+00, 6.352818e+02, 8.558291e+02, 0, 0, 0, 0, 1, 0, 0, 
562, 3.213484e+01, 2.230920e+01, 7.197464e-01, 572, 562, 1, 2.674996e+01, 9.825175e-01, 8.725483e+01, 2.738689e+00, 6.479893e+02, 4.285907e+02, 0, 0, 0, 0, 1, 0, 0, 
248, 1.984691e+01, 1.608675e+01, 5.856809e-01, 255, 248, 1, 1.776973e+01, 9.725490e-01, 5.911270e+01, 7.474022e-01, 6.501935e+02, 5.646734e+02, 0, 0, 0, 0, 1, 0, 0, 
591, 3.228787e+01, 2.398888e+01, 6.693259e-01, 607, 591, 1, 2.743145e+01, 9.736409e-01, 9.394113e+01, 1.815274e+00, 6.591810e+02, 3.665008e+02, 0, 0, 0, 1, 1, 0, 0, 
319, 2.444744e+01, 1.670265e+01, 7.302254e-01, 333, 319, 1, 2.015350e+01, 9.579580e-01, 6.876955e+01, 1.057435e+00, 6.537210e+02, 9.491254e+02, 0, 0, 0, 1, 1, 0, 0, 
305, 2.418151e+01, 1.643120e+01, 7.336809e-01, 326, 305, 1, 1.970629e+01, 9.355828e-01, 6.794113e+01, 9.023728e-01, 6.584230e+02, 7.211279e+02, 0, 0, 0, 1, 1, 0, 0, 
2, 2.309401e+00, 1.154701e+00, 8.660254e-01, 2, 2, 1, 1.595769e+00, 1, 2, 4.684520e-03, 653, 6.535000e+02, 0, 0, 0, 1, 0, 1, 0, 
411, 2.843563e+01, 1.888925e+01, 7.474830e-01, 418, 411, 1, 2.287578e+01, 9.832536e-01, 7.687006e+01, 2.724804e+00, 6.641484e+02, 8.127251e+01, 0, 0, 0, 1, 1, 0, 0, 
115, 1.553175e+01, 1.142905e+01, 6.771436e-01, 152, 115, 1, 1.210052e+01, 7.565789e-01, 6.418377e+01, 2.832227e-01, 6.620696e+02, 6.522261e+02, 0, 0, 0, 1, 1, 0, 0, 
1, 1.154701e+00, 1.154701e+00, 0, 1, 1, 1, 1.128379e+00, 1, 0, 2.334630e-03, 657, 661, 0, 0, 0, 1, 0, 1, 0, 
335, 3.235083e+01, 1.385180e+01, 9.036961e-01, 339, 335, 1, 2.065273e+01, 9.882006e-01, 7.662742e+01, 1.561059e+00, 6.668149e+02, 4.485791e+02, 0, 0, 0, 1, 1, 0, 0, 
